Model,sidelength,sigma,num_epochs,learning_rate,validation roc_auc_score
0,12,7,9,0.6,1.0
1,17,14,8,0.5,1.0
10,11,15,5,0.4,1.0
11,12,4,8,0.9,1.0
12,13,4,6,0.1,1.0
13,15,18,5,1.1,1.0
14,9,12,8,0.2,1.0
15,10,14,9,0.6,1.0
16,14,8,3,1.3,1.0
17,19,10,9,1.1,1.0
18,19,19,2,0.8,1.0
19,12,7,6,1.3,1.0
2,12,6,6,1.4,1.0
20,15,8,7,0.2,1.0
21,8,9,8,0.3,1.0
22,19,18,9,0.8,1.0
23,11,15,4,0.9,1.0
24,15,9,6,0.1,1.0
25,15,9,7,0.8,1.0
26,14,12,8,0.7,1.0
27,11,12,8,1.4,1.0
28,11,11,8,0.6,1.0
29,18,19,8,0.5,1.0
3,15,11,2,0.2,1.0
30,9,6,7,0.2,1.0
31,16,5,3,1.3,1.0
32,12,14,8,1.0,1.0
33,8,11,9,1.0,1.0
34,16,4,9,0.7,1.0
35,11,12,4,0.7,1.0
36,17,1,2,0.5,1.0
37,19,12,8,1.1,1.0
38,19,8,6,0.1,1.0
39,18,17,6,0.5,1.0
4,19,15,2,0.1,1.0
40,14,6,7,0.3,1.0
41,9,7,5,0.5,1.0
42,12,1,5,0.1,1.0
43,16,17,3,1.4,1.0
44,12,2,4,1.3,1.0
45,10,12,4,0.1,1.0
46,18,10,8,1.4,1.0
47,12,3,3,1.4,1.0
48,8,11,5,0.5,1.0
49,10,5,6,0.4,1.0
5,18,19,3,0.5,1.0
50,8,8,5,0.7,1.0
51,19,2,4,0.3,1.0
52,16,17,9,0.6,1.0
53,16,16,4,0.3,1.0
54,19,2,6,0.2,1.0
55,10,14,7,1.0,1.0
56,12,4,7,1.0,1.0
57,8,2,3,0.4,1.0
58,8,7,5,1.1,1.0
59,16,9,6,0.1,1.0
6,10,7,8,1.2,1.0
60,13,13,8,0.5,1.0
61,12,15,9,1.3,1.0
62,16,3,2,0.1,1.0
63,13,15,8,1.3,1.0
64,12,16,9,0.5,1.0
65,14,9,3,1.3,1.0
66,11,11,3,1.4,1.0
67,19,1,5,1.0,1.0
68,10,11,3,0.8,1.0
69,17,4,4,1.3,1.0
7,10,9,7,0.4,1.0
70,8,7,2,0.5,1.0
71,11,9,4,1.3,1.0
72,18,7,9,0.1,1.0
73,8,9,6,0.5,1.0
74,14,6,4,0.8,1.0
75,16,8,7,0.1,1.0
76,15,9,3,0.3,1.0
77,16,1,4,0.3,1.0
78,10,6,4,0.8,1.0
79,13,4,7,0.1,1.0
8,10,4,5,1.4,1.0
80,14,10,6,0.3,1.0
81,14,13,8,1.0,1.0
82,18,18,5,1.4,1.0
83,14,4,5,0.8,1.0
84,15,5,4,0.9,1.0
85,10,9,3,0.7,1.0
86,19,1,8,1.2,1.0
87,19,14,3,0.8,1.0
88,10,14,9,1.2,1.0
89,15,1,5,1.4,1.0
9,8,3,9,0.6,1.0
90,19,18,5,1.2,1.0
91,9,9,7,1.1,1.0
92,12,7,2,0.5,1.0
93,16,19,8,0.7,1.0
94,12,5,4,1.0,1.0
95,16,14,5,0.4,1.0
96,13,1,9,1.4,1.0
97,13,18,9,1.3,1.0
98,9,12,2,1.2,1.0
99,17,16,3,0.9,1.0
base_model,19,24,0.5,1,1.0
